252,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,157,181,181,160,-1,-1,-1,-1
252,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,203,204,113,206,-1,-1,-1,-1
252,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,130,131,132,133,-1,-1,-1,-1
-1,-1,-1,-1,-1,807,580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,271,224,224,271,-1,-1,-1,-1
-1,-1,-1,-1,-1,807,807,807,807,807,807,807,-1,-1,-1,-1,-1,-1,-1,576,577,578,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,277,278,-1,-1,-1
-1,-1,-1,-1,-1,807,807,807,807,807,807,807,-1,807,-1,-1,-1,-1,-1,608,609,610,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,278,278,278,247,214,343,-1,-1
-1,-1,-1,-1,-1,807,807,807,807,807,807,-1,-1,-1,-1,-1,-1,-1,-1,640,641,642,-1,-1,-1,-1,643,-1,-1,-1,-1,-1,342,342,342,342,343,-1,-1,-1
-1,-1,-1,-1,-1,807,807,807,807,807,807,51,52,53,-1,126,-1,-1,-1,207,673,674,-1,-1,-1,643,613,580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
204,-1,-1,-1,-1,807,807,97,97,-1,-1,-1,192,-1,-1,189,0,1,31,239,15,706,-1,-1,643,613,580,709,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
236,-1,-1,-1,-1,88,89,89,89,10,1,-1,207,7,-1,204,2,3,162,162,162,-1,-1,-1,613,580,709,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
236,-1,-1,-1,-1,104,88,161,162,161,162,161,3,161,161,162,162,162,162,162,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,65,66,67,68,69,70,71
-1,-1,-1,-1,-1,36,104,88,162,162,161,162,161,162,161,162,44,162,162,89,89,-1,-1,-1,-1,675,677,-1,-1,-1,-1,-1,72,73,74,75,76,77,78,79
0,-1,-1,-1,1,2,36,104,106,106,106,106,106,106,106,106,106,106,106,106,643,644,644,644,644,613,677,-1,-1,-1,-1,-1,80,81,82,83,84,85,86,87
1,-1,-1,-1,-1,1,2,118,122,122,122,122,122,122,122,122,122,122,122,122,707,708,708,708,708,708,709,-1,-1,-1,-1,-1,88,89,90,91,92,93,94,95
0,-1,-1,-1,-1,0,0,0,0,0,116,117,122,78,78,155,156,157,237,-1,-1,-1,-1,-1,-1,56,57,49,-1,-1,-1,-1,96,97,98,99,100,101,102,103
1,-1,-1,-1,-1,1,1,1,0,1,132,133,122,94,94,171,172,173,253,-1,-1,-1,-1,-1,-1,56,57,57,49,-1,-1,-1,104,105,106,107,108,109,110,111
0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,187,188,189,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,57,49,49,31,112,113,114,115,116,117,118,119
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,57,57,57,49,35,121,122,123,124,125,126,127
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,57,57,49,129,130,131,132,133,134,135
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,15,15,57,57,49,35,139,140,35,35,143
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,56,57,57,49,31,35,49,49,49
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,57,57,57,57,57,57,57
